2WEI||Survivor||Survivor
The Specials||The Specials ||Nite Klub 
The Specials||The Specials ||Stupid Marriage 
The Specials||The Specials ||Too Much Too Young 
The Strokes||Is This It||Is This It
The Strokes||Is This It||Take It Or Leave It
The Sugarcubes||Life's Too Good||Deus 
The Suicide Machines||Destruction By Definition||Break The Glass
The Suicide Machines||War Profiteering Is Killing Us All||War Profiteering Is Killing Us All
The Trammps||Saturday Night Fever ||Disco Inferno
The Trammps||Saturday Night Fever ||Disco Inferno
The Vandals||Hitler Bad, Vandals Good||My Girlfriend's Dead
The Vandals||Hitler Bad, Vandals Good||Too Much Drama
The Velvet Underground||The Velvet Underground ||After Hours 
The Velvet Underground||The Velvet Underground ||Beginning To See The Light 
The Velvet Underground||The Velvet Underground ||Candy Says
The Velvet Underground||The Velvet Underground ||I'm Set Free 
The Verve||Urban Hymns||Bitter Sweet Symphony
The Walkmen||Bows + Arrows||The Rat
The Walkmen||Everyone Who Pretended To Like Me Is Gone||Wake Up
The Walkmen||Everyone Who Pretended To Like Me Is Gone||We've Been Had
The War On Drugs||Lost In The Dream||An Ocean In Between The Waves
The Weakerthans||Left and Leaving||This Is A Fire Door Never Leave Open
The Weakerthans||Left and Leaving||Watermark
The Weeknd||Trilogy||High For This
The Weeknd||Trilogy||House Of Balloons / Glass Table Girls 
The Weeknd||Trilogy||Life Of The Party
The White Stripes||Elephant||I Just Don't Know What To Do With Myself
The White Stripes||Elephant||Seven Nation Army
The White Stripes||Elephant||The Air Near My Fingers
The White Stripes||Elephant||The Hardest Button To Button
The White Stripes||Elephant||You've Got Her In Your Pocket
The White Stripes||The White Stripes||One More Cup Of Coffee
The White Stripes||The White Stripes||Stop Breaking Down
The White Stripes||White Blood Cells||Fell In Love With A Girl
The White Stripes||White Blood Cells||Hotel Yorba
The Who||Rushmore||A Quick One, While He's Away
Tom Waits||Rain Dogs||Anywhere I Lay My Head
Tom Waits||Rain Dogs||Hang Down Your Head
Tom Waits||Rain Dogs||Rain Dogs
Tom Waits||Swordfishtrombones||Down, Down, Down
Trashcan Sinatras||Fez||All the Dark Horses
Trashcan Sinatras||Fez||Easy Read
Trashcan Sinatras||Fez||The Safecracker
Trashcan Sinatras||Fez||Weightlifting
Trashcan Sinatras||In The Music||Easy Read
Trashcan Sinatras||Weightlifting||All the Dark Horses
U2||The Best Of 1990-2000||Hold Me, Thrill Me, Kiss Me, Kill Me 
U2||The Joshua Tree ||Exit
U2||The Joshua Tree ||Where The Streets Have No Name 
Underworld||Dubnobasswithmyheadman ||Cowgirl 
Underworld||Dubnobasswithmyheadman ||Dark & Long 
Underworld||Dubnobasswithmyheadman ||Dirty Epic 
Underworld||Dubnobasswithmyheadman ||Mmm...Skyscraper I Love You 
VNV Nation||Empires||Rubicon
VNV Nation||Empires||Saviour
VNV Nation||Futureperfect||Airships
VNV Nation||Futureperfect||Beloved
VNV Nation||Futureperfect||Fearless
VNV Nation||Futureperfect||Genesis
VNV Nation||Futureperfect||Holding On
Vampire Weekend||Contra||White Sky
Vampire Weekend||Modern Vampires of the City||Ya Hey
Van Halen||Van Halen ||Eruption 
Van Halen||Van Halen ||Feel Your Love Tonight 
Van Halen||Van Halen ||Runnin' With The Devil 
Van Morrison||Moondance ||Glad Tidings
Vance Joy||Riptide||Riptide
Weezer||Pinkerton||Across The Sea 
Weezer||Pinkerton||El Scorcho 
Weezer||Pinkerton||Getchoo 
Weezer||Pinkerton||No Other One 
Weezer||Pinkerton||Pink Triangle 
Weezer||Pinkerton||The Good Life 
Weezer||Weezer||Buddy Holly
Weezer||Weezer||Holiday
Weezer||Weezer||My Name Is Jonas 
Weezer||Weezer||No One Else
Weezer||Weezer||Only In Dreams
Weezer||Weezer||Surf Wax America
Weezer||Weezer||The World Has Turned And Left Me Here
Weezer||Weezer||Undone - The Sweater Song
Wilco||Summerteeth||A Shot In The Arm 
Wilco||Summerteeth||Candyfloss
Wilco||Summerteeth||Nothing'severgonnastandinmyway 
Will Smith||Gettin' Jiggy Wit It||Gettin' Jiggy Wit It
Willie Nelson||Red Headed Stranger||Red Headed Stranger
Wire||Chairs Missing||I Am The Fly 
Wire||Pink Flag||Champs 
Wolfsheim||Spectators||Read The Lines
XTC||Drums And Wires||Chain Of Command 
XTC||Drums And Wires||Complicated Game 
XTC||Drums And Wires||Helicopter 
XTC||Drums And Wires||Making Plans For Nigel 
XTC||Drums And Wires||Reel By Reel 
XTC||Skylarking ||1000 Umbrellas
XTC||Skylarking||Dear God 
Yann Tiersen||Amélie ||Comptine d'un autre été, l'après-midi
Yann Tiersen||Amélie ||J'y suis jamais allé
Yann Tiersen||Amélie ||Le moulin
Yann Tiersen||Amélie ||Pas si simple
Yann Tiersen||Amélie ||Sur le fil
Yann Tiersen||Le fabuleux destin d'Amélie Poulain ||Comptine d'un autre été, l'après-midi
Yann Tiersen||Le fabuleux destin d'Amélie Poulain ||Le moulin
Yann Tiersen||Le fabuleux destin d'Amélie Poulain ||Not That Simple
Yann Tiersen||Le fabuleux destin d'Amélie Poulain ||The Drowned Girl
Yeah Yeah Yeahs||It's Blitz!||Dull Life
Yo La Tengo||I Can Hear the Heart Beating As One||Autumn Sweater
Youth Lagoon||The Year of Hibernation||Montana
Yvonne Elliman||Saturday Night Fever ||If I Can't Have You
bis||Return to Central ||The End Starts Today
múm||Finally We Are No One||Green Green Grass Of Tunnel
